# Torque, Command, State
0.00,0.00,1.00
34.28,36.79,1.00
31.28,32.14,-1.00
28.28,29.85,-1.00
25.28,27.44,-1.00
22.28,24.89,-1.00
19.28,22.18,-1.00
22.28,28.13,1.00
25.28,30.43,1.00
28.28,32.61,1.00
31.28,34.72,1.00
34.28,36.79,1.00
32.14,32.78,-1.00
29.14,30.52,-1.00
26.14,28.15,-1.00
23.14,25.64,-1.00
20.14,22.98,-1.00
17.14,20.14,-1.00
20.14,26.37,1.00
23.14,28.80,1.00
26.14,31.06,1.00
29.14,33.22,1.00
32.14,35.31,1.00
10.71,13.42,-1.00
9.71,12.28,-1.00
8.71,11.12,-1.00
7.71,9.94,-1.00
6.71,8.72,-1.00
5.71,7.48,-1.00
6.71,10.82,1.00
7.71,12.40,1.00
8.71,13.89,1.00
9.71,15.30,1.00
10.71,16.62,1.00
42.85,42.76,1.00
39.85,38.13,-1.00
36.85,36.11,-1.00
33.85,34.01,-1.00
30.85,31.82,-1.00
27.85,29.52,-1.00
24.85,27.09,-1.00
21.85,24.51,-1.00
24.85,30.11,1.00
27.85,32.30,1.00
30.85,34.42,1.00
33.85,36.50,1.00
36.85,38.57,1.00
39.85,40.65,1.00
42.85,42.76,1.00
2.14,2.80,-1.00
1.14,1.42,-1.00
2.14,2.23,1.00
29.99,33.82,1.00
26.99,28.83,-1.00
23.99,26.36,-1.00
20.99,23.75,-1.00
17.99,20.96,-1.00
20.99,27.08,1.00
23.99,29.46,1.00
26.99,31.68,1.00
29.99,33.82,1.00
38.56,39.75,1.00
35.56,35.22,-1.00
32.56,33.08,-1.00
29.56,30.84,-1.00
26.56,28.49,-1.00
23.56,26.00,-1.00
20.56,23.36,-1.00
23.56,29.13,1.00
26.56,31.37,1.00
29.56,33.51,1.00
32.56,35.60,1.00
35.56,37.68,1.00
38.56,39.75,1.00
25.71,27.80,-1.00
23.71,26.13,-1.00
21.71,24.39,-1.00
19.71,22.58,-1.00
17.71,20.70,-1.00
15.71,18.73,-1.00
13.71,16.67,-1.00
15.71,22.30,1.00
17.71,24.23,1.00
19.71,26.01,1.00
21.71,27.67,1.00
23.71,29.24,1.00
25.71,30.75,1.00
6.43,8.37,-1.00
5.43,7.12,-1.00
4.43,5.84,-1.00
3.43,4.53,-1.00
4.43,6.84,1.00
5.43,8.65,1.00
6.43,10.36,1.00
15.00,21.58,1.00
13.00,15.92,-1.00
11.00,13.74,-1.00
9.00,11.46,-1.00
11.00,17.00,1.00
13.00,19.40,1.00
15.00,21.58,1.00
21.42,27.44,1.00
19.42,22.31,-1.00
17.42,20.42,-1.00
15.42,18.44,-1.00
13.42,16.37,-1.00
11.42,14.21,-1.00
13.42,19.88,1.00
15.42,22.01,1.00
17.42,23.96,1.00
19.42,25.76,1.00
21.42,27.44,1.00
